ticker,name,description,expense_ratio,sector,theme_tags,risk_level,AUM,performance_1yr,volatility,dividend_yield
SMH,VanEck Semiconductor ETF,"Invests in companies involved in the semiconductor industry, including design, manufacturing, and distribution.",0.35,Technology,"Semiconductors, Hardware",Medium,20000,55.00%,Medium,0.80%
ESPO,VanEck Video Gaming and eSports ETF,Seeks to replicate the price and yield performance of the MVIS Global Video Gaming and eSports Index.,0.55,Communication Services,"Gaming, Esports, Digital Entertainment",Medium,400,10.20%,Medium,0.00%
AQWA,Global X Clean Water ETF,"Focuses on companies involved in the global clean water industry, including treatment, infrastructure, and utilities.",0.5,Utilities,"Clean Water, Infrastructure",Low,150,5.50%,Low,0.60%
PAVE,Global X U.S. Infrastructure Development ETF,Invests in companies that stand to benefit from increased infrastructure activity in the United States.,0.47,Industrials,"Infrastructure, Construction",Medium,1000,11.30%,Medium,0.90%
GNOM,Global X Genomics & Biotechnology ETF,"Similar to ARKG, focuses on the genomics and biotechnology revolution.",0.5,Healthcare,"Genomics, Biotechnology",High,200,-8.70%,High,0.00%
IPAY,ETFMG Prime Mobile Payments ETF,Targets companies positioned to benefit from the increasing adoption of mobile payment technology.,0.75,Technology,"Mobile Payments, FinTech",Medium,300,8.10%,Medium,0.00%
CHIQ,Global X MSCI China Consumer Discretionary ETF,"Provides exposure to the consumer discretionary sector in China, benefiting from rising incomes.",0.66,Consumer Discretionary,"China Consumption, E-commerce",Medium,250,-18.20%,High,0.50%
EBIZ,Global X E-commerce ETF,Invests in companies that have significant exposure to the e-commerce industry.,0.68,Consumer Discretionary,"E-commerce, Digital Retail",Medium,100,-12.50%,High,0.00%
RAYS,Global X Solar ETF,Focuses on companies that are positioned to benefit from the adoption of solar energy technology.,0.69,Utilities,"Solar Energy, Renewables",Medium,180,-25.00%,High,0.00%
WNDY,Global X Wind Energy ETF,Invests in companies that are positioned to benefit from the adoption of wind energy technology.,0.69,Utilities,"Wind Energy, Renewables",Medium,80,-18.50%,High,0.00%
HACK,PureFunds CyberSecurity ETF,Invests in companies providing products and services for cybersecurity.,0.6,Technology,Cybersecurity,Medium,2000,20.00%,Medium,0.00%
QQQJ,Invesco Nasdaq Next Gen 100 ETF,"Tracks the Nasdaq Next Generation 100 Index, focusing on the next 100 largest non-financial companies on the Nasdaq after the Nasdaq-100.",0.15,Multi-Sector,"Growth, Next Gen Tech",Medium,800,16.50%,Medium,0.10%
HERO,Global X Video Games & Esports ETF,"Provides exposure to companies involved in video game development, esports, and related hardware and software.",0.5,Communication Services,"Gaming, Esports",Medium,300,9.50%,Medium,0.00%
DAPP,VanEck Digital Transformation ETF,"Seeks to track the performance of companies involved in the digital transformation of the economy, including blockchain and digital assets.",0.65,Technology,"Blockchain, Digital Assets",High,200,30.00%,Very High,0.00%
ARKF,ARK FinTech Innovation ETF,Actively managed fund focusing on companies involved in financial technology.,0.75,Financials,"FinTech, Innovation",High,900,-3.50%,High,0.00%
BFIT,Global X Health & Wellness ETF,"Invests in companies promoting health and wellness, including fitness, healthy food, and personal care.",0.5,Consumer Staples,"Health & Wellness, Lifestyle",Low,50,4.00%,Low,1.20%
RVNU,RiverFront Dynamic US Dividend ETF,Seeks to invest in dividend-paying U.S. companies across various sectors. (Thematic if focused on dividend growth trend),0.85,Multi-Sector,"Income, Dividend Growth",Medium,100,8.50%,Medium,3.50%
HYDR,Global X Hydrogen ETF,Invests in companies that stand to benefit from the advancement of the global hydrogen economy.,0.69,Industrials,"Hydrogen, Clean Energy",High,120,-22.00%,High,0.00%
GTEK,Goldman Sachs Future Tech Leaders Equity ETF,Actively managed ETF investing in innovative technology companies.,0.75,Technology,"Future Tech, Innovation",High,50,18.00%,High,0.00%
EDOC,Global X Telemedicine & Digital Health ETF,Focuses on companies providing telemedicine and digital health solutions.,0.68,Healthcare,"Telemedicine, Digital Health",Medium,150,-1.50%,Medium,0.00%
KROP,Global X AgTech & Food Innovation ETF,Invests in companies that are involved in agricultural technology and innovative food production.,0.5,Consumer Staples,"AgTech, Food Innovation",Medium,70,6.20%,Medium,0.00%
BKCH,Global X Blockchain ETF,Provides exposure to companies positioned to benefit from the further development and utilization of blockchain technology.,0.5,Technology,"Blockchain, Crypto",High,150,40.00%,Very High,0.00%
SNSR,First Trust Indxx IoT ETF,Focuses on companies involved in the Internet of Things (IoT).,0.7,Technology,"IoT, Connected Devices",Medium,200,10.00%,Medium,0.00%
PMPY,Invesco Global Listed Private Equity ETF,Invests in publicly traded companies that are involved in private equity.,0.6,Financials,Private Equity,Medium,80,15.00%,Medium,2.00%
LOUP,Innovative Technology & Lifestyles ETF,"Invests in companies leading innovation in areas such as AI, robotics, and future transportation.",0.75,Technology,"Innovation, Future Tech",High,40,12.00%,High,0.00%
VCAR,ETFMG Electric Vehicles and Future Mobility ETF,"Provides exposure to companies involved in electric vehicles, autonomous driving, and future mobility.",0.6,Consumer Discretionary,"EVs, Autonomous Vehicles",High,90,-5.00%,High,0.00%
SBUG,AXS Esoterica NextG ETF,Focuses on next-generation cybersecurity companies.,0.75,Technology,"Cybersecurity, NextGen Tech",High,30,18.00%,High,0.00%
MILN,Global X Millennial Consumer ETF,Targets companies that cater to the spending habits of the millennial generation.,0.5,Consumer Discretionary,"Millennial Economy, Consumer Trends",Medium,60,-2.00%,Medium,0.00%
AGNG,Global X Aging Population ETF,Invests in companies that stand to benefit from the needs of an aging global population.,0.5,Healthcare,"Aging Population, Healthcare",Low,100,3.50%,Low,0.50%
QTUM,Defiance Quantum ETF,"Focuses on companies at the forefront of quantum computing, AI, and machine learning.",0.95,Technology,"Quantum Computing, AI",Very High,70,28.00%,Very High,0.00%
WCLE,Wahed FTSE USA Shariah ETF,"Invests in Shariah-compliant U.S. companies across various sectors, aligning with ethical investing.",0.5,Multi-Sector,"Shariah-compliant, Ethical Investing",Medium,50,10.00%,Medium,1.50%
GXTG,Global X Thematic Growth ETF,A multi-theme ETF providing exposure to various disruptive technologies and megatrends.,0.5,Multi-Sector,"Multi-Theme, Growth",Medium,100,15.00%,Medium,0.00%
HBLK,Horizons Blockchain Technology ETF,Invests in companies engaged in the development and innovation of blockchain technology.,0.65,Technology,"Blockchain, Crypto",High,30,35.00%,Very High,0.00%
FITE,SPDR S&P Kensho Future Security ETF,"Focuses on companies involved in cybersecurity, defense, and other future security technologies.",0.45,Technology,"Future Security, Cybersecurity",Medium,80,17.50%,Medium,0.00%
XHE,SPDR S&P Health Care Equipment ETF,Invests in companies that are part of the healthcare equipment and supplies industry.,0.35,Healthcare,"Medical Devices, Healthcare Tech",Medium,500,8.00%,Medium,0.50%
IBUY,Online Retail ETF,Tracks global companies that generate a substantial portion of their revenue from online retail.,0.75,Consumer Discretionary,"E-commerce, Online Retail",Medium,500,-10.00%,High,0.00%
CTEC,Global X CleanTech ETF,"Invests in companies involved in various clean technologies, including smart grid, energy efficiency, and pollution control.",0.5,Industrials,"Clean Technology, Environment",Medium,90,-15.00%,Medium,0.00%
KWEB,KraneShares CSI China Internet ETF,"Focuses on Chinese internet companies, including e-commerce, online gaming, and social media.",0.73,Communication Services,"China Internet, E-commerce",High,6000,-25.00%,Very High,0.50%
MSOS,AdvisorShares Pure US Cannabis ETF,An actively managed ETF providing exposure to U.S. cannabis companies.,0.74,Healthcare,"Cannabis, Consumer Staples",Very High,800,-30.00%,Extremely High,0.00%
FCOM,Fidelity MSCI Communication Services Index ETF,"Tracks the communication services sector, including media, entertainment, and telecom.",0.08,Communication Services,"Communication Services, Media",Low,1500,20.00%,Medium,1.00%
IDNA,iShares Genomics Immunology and Healthcare ETF,"Focuses on companies at the forefront of genomics, immunology, and healthcare innovation.",0.47,Healthcare,"Genomics, Immunology, Biotech",High,300,-7.00%,High,0.00%
GRID,First Trust Nasdaq Clean Edge Smart Grid Infra ETF,Invests in companies involved in smart grid and clean energy infrastructure.,0.6,Industrials,"Smart Grid, Clean Energy, Infrastructure",Medium,250,10.00%,Medium,0.80%
FTXR,First Trust Indxx Innovative Transaction & Process ETF,"Focuses on companies involved in innovative transaction and process technologies, including blockchain.",0.65,Technology,"Blockchain, Transaction Tech",High,100,15.00%,High,0.00%
GURU,Global X Guru Index ETF,Utilizes a quantitative model to identify and invest in the highest conviction ideas from hedge funds.,0.75,Multi-Sector,"Alpha, Hedge Fund Replication",Medium,50,7.00%,Medium,0.00%
SOCL,Global X Social Media ETF,Tracks companies involved in social media platforms and related services.,0.65,Communication Services,"Social Media, Digital Advertising",Medium,200,18.00%,High,0.00%
VGT,Vanguard Information Technology ETF,"Invests in companies in the information technology sector, including software, hardware, and IT services.",0.1,Technology,"Technology, Software, Hardware",Medium,60000,35.00%,Medium,0.70%
XLV,Health Care Select Sector SPDR Fund,"Tracks the health care sector of the S&P 500, including pharmaceuticals, biotech, and equipment.",0.1,Healthcare,"Healthcare, Pharmaceuticals",Low,35000,12.00%,Low,1.40%
XLC,Communication Services Select Sector SPDR Fund,"Tracks the communication services sector of the S&P 500, including telecom, media, and entertainment.",0.1,Communication Services,"Communication Services, Media",Medium,25000,20.00%,Medium,0.90%
IXJ,iShares Global Healthcare ETF,"Provides exposure to global healthcare companies, including pharmaceuticals, biotechnology, and medical devices.",0.4,Healthcare,"Global Healthcare, Pharma",Low,2000,10.00%,Low,1.80%
XLK,Technology Select Sector SPDR Fund,"Tracks the technology sector of the S&P 500, including software, hardware, and IT services.",0.1,Technology,"Technology, Software, Hardware",Medium,70000,38.00%,Medium,0.70%
SMOG,VanEck Low Carbon Energy ETF,Focuses on companies involved in low carbon energy technologies.,0.6,Utilities,"Low Carbon Energy, Renewables",Medium,80,-10.00%,Medium,1.00%
CHPT,Global X China Consumer ETF,Invests in companies that stand to benefit from the growth of the consumer sector in China.,0.65,Consumer Discretionary,China Consumption,Medium,100,-15.00%,High,0.20%
KODK,Innovator S&P Kensho Electric Vehicles ETF,Focuses on companies involved in the electric vehicle ecosystem.,0.65,Consumer Discretionary,"EVs, Auto Tech",High,70,-8.00%,High,0.00%
IPOS,Renaissance IPO ETF,Invests in the most significant and liquid newly public companies.,0.6,Multi-Sector,"IPOs, New Economies",High,300,5.00%,High,0.00%
IBUY,Amplify Online Retail ETF,Tracks global companies that derive a majority of their revenue from online retail.,0.65,Consumer Discretionary,"E-commerce, Online Retail",Medium,500,-10.00%,High,0.00%
DRIV,KraneShares Electric Vehicles & Future Mobility Index ETF,Focuses on electric vehicles and future mobility technologies.,0.65,Consumer Discretionary,"EVs, Future Mobility",High,150,-7.00%,High,0.00%
GSIE,Goldman Sachs ActiveBeta® International Equity ETF,A multi-factor ETF investing in developed and emerging market equities. (Thematic for global diversification),0.25,Multi-Sector,"International, Multi-Factor",Medium,500,8.00%,Medium,2.50%
SPDR,SPDR S&P Biotech ETF,Invests in the biotechnology segment of the S&P Total Market Index.,0.35,Healthcare,"Biotechnology, Pharma",High,7000,-1.00%,High,0.00%
XBI,SPDR S&P Biotech ETF,"Another popular biotech ETF, similar to IBB but with different index construction.",0.35,Healthcare,"Biotechnology, Pharma",High,7000,-1.00%,High,0.00%
IBB,iShares Biotechnology ETF,"Tracks the biotechnology sector, including companies engaged in research and development of drugs.",0.47,Healthcare,"Biotechnology, Pharma",High,8000,-3.00%,High,0.00%
XLRE,Real Estate Select Sector SPDR Fund,Tracks the real estate sector of the S&P 500.,0.1,Real Estate,"Real Estate, REITs",Low,3000,5.00%,Low,3.50%
XLF,Financial Select Sector SPDR Fund,Tracks the financial sector of the S&P 500.,0.1,Financials,"Financial Services, Banking",Medium,40000,18.00%,Medium,1.80%
XLP,Consumer Staples Select Sector SPDR Fund,Tracks the consumer staples sector of the S&P 500.,0.1,Consumer Staples,"Consumer Staples, Food & Beverage",Low,15000,6.00%,Low,2.50%
XLY,Consumer Discretionary Select Sector SPDR Fund,Tracks the consumer discretionary sector of the S&P 500.,0.1,Consumer Discretionary,"Consumer Discretionary, Retail",Medium,25000,22.00%,Medium,1.00%
XLI,Industrial Select Sector SPDR Fund,Tracks the industrial sector of the S&P 500.,0.1,Industrials,"Industrials, Manufacturing",Medium,20000,15.00%,Medium,1.30%
XLB,Materials Select Sector SPDR Fund,Tracks the materials sector of the S&P 500.,0.1,Basic Materials,"Materials, Chemicals",Medium,10000,10.00%,Medium,2.00%
XLE,Energy Select Sector SPDR Fund,Tracks the energy sector of the S&P 500.,0.1,Energy,"Energy, Oil & Gas",High,30000,25.00%,High,3.80%
XLU,Utilities Select Sector SPDR Fund,Tracks the utilities sector of the S&P 500.,0.1,Utilities,"Utilities, Power",Low,15000,4.00%,Low,3.00%
XOP,SPDR S&P Oil & Gas Exploration & Production ETF,Focuses on the oil and gas exploration and production segment.,0.35,Energy,"Oil & Gas, Energy",Very High,5000,28.00%,Very High,1.50%
GDX,VanEck Gold Miners ETF,Invests in companies involved in gold mining.,0.51,Basic Materials,"Gold, Mining",High,10000,-5.00%,High,1.20%
SILJ,ETFMG Prime Junior Silver Miners ETF,"Focuses on smaller, junior silver mining companies.",0.69,Basic Materials,"Silver, Mining",Very High,300,-10.00%,Very High,0.50%
PBW,Invesco WilderHill Clean Energy ETF,Tracks companies engaged in the clean energy sector.,0.7,Utilities,"Clean Energy, Renewables",High,800,-20.00%,High,0.00%
FAN,First Trust Global Wind Energy ETF,Invests in companies that are involved in the global wind energy industry.,0.6,Utilities,"Wind Energy, Renewables",Medium,150,-18.00%,High,0.00%
TAN,Invesco Solar ETF,Focuses on companies involved in the solar energy industry.,0.69,Utilities,"Solar Energy, Renewables",High,3000,-28.00%,Very High,0.00%
QCLN,First Trust Nasdaq Clean Edge Green Energy Index Fund,Invests in U.S.-listed clean energy companies.,0.6,Multi-Sector,"Clean Energy, Green Tech",Medium,1500,-17.00%,Medium,0.00%
SMOG,VanEck Green Bond ETF,"Invests in green bonds, which fund environmentally friendly projects.",0.2,Fixed Income,"Green Bonds, ESG",Low,100,2.00%,Low,1.80%
ESGE,iShares ESG Aware MSCI Emerging Markets ETF,Invests in emerging market companies with favorable ESG characteristics.,0.25,Multi-Sector,"ESG, Emerging Markets",Medium,2000,5.00%,Medium,2.20%
SUSA,iShares MSCI USA ESG Select ETF,"Focuses on U.S. companies with strong environmental, social, and governance (ESG) practices.",0.25,Multi-Sector,"ESG, Sustainable Investing",Low,3000,10.00%,Low,1.50%
ESGU,iShares ESG Aware MSCI USA ETF,Tracks U.S. companies with positive ESG characteristics.,0.15,Multi-Sector,"ESG, Sustainable Investing",Low,25000,12.00%,Low,1.30%
SHE,SPDR SSGA Gender Diversity Index ETF,Invests in U.S. companies that are leaders in gender diversity.,0.2,Multi-Sector,"Gender Diversity, ESG",Medium,300,9.00%,Medium,1.20%
CRBN,iShares MSCI ACWI Low Carbon Target ETF,Aims to track companies with lower carbon exposure.,0.2,Multi-Sector,"Low Carbon, ESG",Medium,500,8.00%,Medium,1.60%
WOOD,iShares Global Timber & Forestry ETF,Invests in companies that own or manage timberlands and related forestry products.,0.47,Basic Materials,"Timber, Forestry, Natural Resources",Medium,300,6.00%,Medium,2.00%
PICK,iShares MSCI Global Metals & Mining Producers ETF,Focuses on global producers of industrial and precious metals.,0.39,Basic Materials,"Metals, Mining, Commodities",Medium,200,10.00%,Medium,2.50%
VAW,Vanguard Materials ETF,Invests in companies in the basic materials sector.,0.1,Basic Materials,"Materials, Chemicals",Low,5000,9.00%,Low,2.00%
REM,iShares Mortgage Real Estate ETF,Focuses on companies that invest in mortgages and real estate.,0.48,Real Estate,"Mortgage REITs, Real Estate",Medium,500,2.00%,Medium,8.00%
REZ,iShares Residential Real Estate ETF,Invests in U.S. residential real estate companies.,0.48,Real Estate,"Residential Real Estate, REITs",Low,200,4.00%,Low,3.00%
RWR,SPDR Dow Jones REIT ETF,Tracks the performance of the Dow Jones U.S. Real Estate Index.,0.25,Real Estate,"Real Estate, REITs",Low,2000,5.00%,Low,3.20%
BIKR,Global X Nasdaq 100 Bike ETF,A hypothetical ETF focusing on the growing cycling and outdoor recreation industry.,0.65,Consumer Discretionary,"Cycling, Outdoor Recreation",Medium,50,8.00%,Medium,0.00%
FUTY,Fidelity MSCI Utilities Index ETF,Tracks the utilities sector of the U.S. equity market.,0.08,Utilities,"Utilities, Power",Low,1000,4.50%,Low,3.20%
FSTA,Fidelity MSCI Consumer Staples Index ETF,Tracks the consumer staples sector of the U.S. equity market.,0.08,Consumer Staples,"Consumer Staples, Food & Beverage",Low,1200,7.00%,Low,2.80%
FNCL,Fidelity MSCI Financials Index ETF,Tracks the financials sector of the U.S. equity market.,0.08,Financials,"Financial Services, Banking",Medium,1500,19.00%,Medium,2.00%
FHLC,Fidelity MSCI Health Care Index ETF,Tracks the healthcare sector of the U.S. equity market.,0.08,Healthcare,"Healthcare, Pharma",Low,1800,11.00%,Low,1.50%
FMAT,Fidelity MSCI Materials Index ETF,Tracks the materials sector of the U.S. equity market.,0.08,Basic Materials,"Materials, Chemicals",Medium,800,11.00%,Medium,2.20%
FCOM,Fidelity MSCI Communication Services Index ETF,Tracks the communication services sector of the U.S. equity market.,0.08,Communication Services,"Communication Services, Media",Low,1500,20.00%,Medium,1.00%
FTEC,Fidelity MSCI Information Technology Index ETF,Tracks the information technology sector of the U.S. equity market.,0.08,Technology,"Technology, Software, Hardware",Medium,2000,37.00%,Medium,0.70%
FDIS,Fidelity MSCI Consumer Discretionary Index ETF,Tracks the consumer discretionary sector of the U.S. equity market.,0.08,Consumer Discretionary,"Consumer Discretionary, Retail",Medium,1400,23.00%,Medium,1.00%
FENY,Fidelity MSCI Energy Index ETF,Tracks the energy sector of the U.S. equity market.,0.08,Energy,"Energy, Oil & Gas",High,1000,26.00%,High,4.00%
FIDU,Fidelity MSCI Industrials Index ETF,Tracks the industrials sector of the U.S. equity market.,0.08,Industrials,"Industrials, Manufacturing",Medium,1100,16.00%,Medium,1.50%
FREL,Fidelity MSCI Real Estate Index ETF,Tracks the real estate sector of the U.S. equity market.,0.08,Real Estate,"Real Estate, REITs",Low,500,5.50%,Low,3.50%
IVV,iShares Core S&P 500 ETF,"Tracks the S&P 500 index, representing large-cap U.S. equities. (Not thematic, but a core holding)",0.03,Multi-Sector,"Broad Market, Large Cap",Low,400000,15.00%,Low,1.30%
VEA,Vanguard FTSE Developed Markets ETF,"Invests in large, mid, and small-cap companies in developed international markets.",0.05,Multi-Sector,"Developed Markets, International",Medium,150000,7.00%,Medium,2.80%
VWO,Vanguard FTSE Emerging Markets ETF,"Invests in large, mid, and small-cap companies in emerging markets.",0.08,Multi-Sector,"Emerging Markets, International",Medium,120000,5.00%,Medium,2.50%
GLD,SPDR Gold Shares,Represents ownership in physical gold bullion stored in vaults.,0.4,Commodities,"Gold, Precious Metals",Medium,60000,10.00%,Medium,0.00%
SLV,iShares Silver Trust,Represents ownership in physical silver bullion stored in vaults.,0.5,Commodities,"Silver, Precious Metals",Medium,10000,8.00%,Medium,0.00%
USO,United States Oil Fund LP,Tracks the daily price movements of West Texas Intermediate (WTI) crude oil.,0.75,Commodities,"Oil, Energy",Very High,3000,20.00%,Very High,0.00%
UNG,United States Natural Gas Fund LP,Tracks the daily price movements of natural gas.,1.35,Commodities,"Natural Gas, Energy",Extremely High,500,-15.00%,Extremely High,0.00%
DBA,Invesco DB Agriculture Fund,Tracks a diversified basket of agricultural commodities.,0.85,Commodities,"Agriculture, Food",Medium,1000,5.00%,Medium,0.00%
URA,Global X Uranium ETF,"Focuses on companies involved in the uranium industry, including mining and nuclear components.",0.69,Basic Materials,"Uranium, Nuclear Energy",High,1500,45.00%,Very High,0.00%
GCL,Global X Gold Explorers ETF,Invests in companies primarily engaged in the exploration for gold.,0.65,Basic Materials,"Gold Exploration, Mining",Very High,80,-8.00%,Very High,0.00%
PICK,iShares MSCI Global Metals & Mining Producers ETF,Focuses on global producers of industrial and precious metals.,0.39,Basic Materials,"Metals, Mining, Commodities",Medium,200,10.00%,Medium,2.50%
FTRI,First Trust Indxx Global Natural Resources Income ETF,Invests in income-generating companies in the natural resources sector.,0.7,Multi-Sector,"Natural Resources, Income",Medium,50,7.00%,Medium,3.00%
REMX,VanEck Rare Earth/Strategic Metals ETF,"Tracks companies involved in the production, refining, and recycling of rare earth and strategic metals.",0.59,Basic Materials,"Rare Earth, Strategic Metals",High,1000,-12.00%,High,0.50%
CUT,Invesco MSCI Global Timber ETF,Focuses on companies in the global timber and forest products industry.,0.65,Basic Materials,"Timber, Forestry",Medium,80,7.00%,Medium,2.00%
XLV,Health Care Select Sector SPDR Fund,Tracks the health care sector of the S&P 500.,0.1,Healthcare,"Healthcare, Pharma",Low,35000,12.00%,Low,1.40%
IBB,iShares Biotechnology ETF,Tracks the biotechnology sector.,0.47,Healthcare,"Biotechnology, Pharma",High,8000,-3.00%,High,0.00%
PBE,Invesco Dynamic Biotechnology & Genome ETF,Focuses on companies involved in biotechnology and genomics.,0.59,Healthcare,"Biotechnology, Genomics",High,200,-6.00%,High,0.00%
XHE,SPDR S&P Health Care Equipment ETF,Invests in companies in the healthcare equipment and supplies industry.,0.35,Healthcare,"Medical Devices, Healthcare Tech",Medium,500,8.00%,Medium,0.50%
IXJ,iShares Global Healthcare ETF,Provides exposure to global healthcare companies.,0.4,Healthcare,"Global Healthcare, Pharma",Low,2000,10.00%,Low,1.80%
KOL,VanEck Coal ETF,Focuses on companies involved in the coal industry.,0.65,Energy,"Coal, Fossil Fuels",Very High,150,25.00%,Very High,3.00%
OIH,VanEck Oil Services ETF,Invests in companies that provide services to the oil and gas industry.,0.35,Energy,"Oil Services, Energy",High,3000,20.00%,High,1.00%
GDXJ,VanEck Junior Gold Miners ETF,Focuses on smaller gold mining companies.,0.54,Basic Materials,"Gold, Junior Mining",Very High,4000,-10.00%,Very High,0.80%
SIL,Global X Silver Miners ETF,Invests in companies that mine silver.,0.65,Basic Materials,"Silver, Mining",High,500,-8.00%,High,1.00%
MOO,VanEck Agribusiness ETF,Focuses on companies in the global agribusiness industry.,0.53,Consumer Staples,"Agribusiness, Agriculture",Medium,1000,5.00%,Medium,1.50%
GUNR,FlexShares Global Upstream Natural Resources Index Fund,Invests in companies that own or produce natural resources globally.,0.48,Multi-Sector,"Natural Resources, Commodities",Medium,1000,12.00%,Medium,2.50%
PHO,Invesco Water Resources ETF,Focuses on companies that create products designed to conserve and purify water.,0.59,Utilities,"Water, Infrastructure",Low,1800,7.80%,Low,0.85%
BATT,Amplify Lithium & Battery Technology ETF,Invests in companies involved in lithium and battery technology.,0.59,Basic Materials,"Lithium, Battery Technology, EVs",High,200,-18.00%,High,0.00%
FTXO,First Trust Nasdaq Oil & Gas Exploration & Production ETF,Focuses on oil and gas exploration and production companies.,0.6,Energy,"Oil & Gas, Energy",High,100,22.00%,High,1.80%
FAN,First Trust Global Wind Energy ETF,Invests in companies involved in the global wind energy industry.,0.6,Utilities,"Wind Energy, Renewables",Medium,150,-18.00%,High,0.00%
CNRG,SPDR S&P Kensho Clean Power ETF,Invests in companies involved in clean power generation and technology.,0.45,Utilities,"Clean Power, Renewables",Medium,80,-15.00%,Medium,0.00%
GHYG,Nuveen Short-Term High Yield ETF,Invests in short-term high-yield corporate bonds. (Thematic if focused on credit cycle),0.35,Fixed Income,"High Yield Bonds, Income",Medium,200,3.00%,Low,5.00%
HYG,iShares iBoxx $ High Yield Corporate Bond ETF,Tracks a high-yield corporate bond index. (Thematic if focused on credit cycle),0.48,Fixed Income,"High Yield Bonds, Income",Medium,12000,4.00%,Low,5.50%
JNK,SPDR Bloomberg High Yield Bond ETF,Another popular high-yield corporate bond ETF. (Thematic if focused on credit cycle),0.4,Fixed Income,"High Yield Bonds, Income",Medium,8000,4.20%,Low,5.30%
TLT,iShares 20+ Year Treasury Bond ETF,Invests in long-term U.S. Treasury bonds. (Thematic if focused on interest rate trends),0.15,Fixed Income,"Long-term Bonds, Interest Rates",Low,30000,-5.00%,Medium,4.50%
VCIT,Vanguard Intermediate-Term Corporate Bond ETF,Invests in investment-grade intermediate-term corporate bonds.,0.04,Fixed Income,"Corporate Bonds, Income",Low,40000,1.50%,Low,3.80%
BND,Vanguard Total Bond Market ETF,Tracks the total U.S. investment-grade bond market.,0.03,Fixed Income,"Broad Market Bonds, Income",Low,100000,2.00%,Low,3.50%
LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF,Tracks an index of U.S. dollar-denominated investment-grade corporate bonds.,0.14,Fixed Income,"Corporate Bonds, Income",Low,30000,2.50%,Low,4.20%
MBB,iShares MBS ETF,Invests in U.S. agency mortgage-backed securities (MBS).,0.05,Fixed Income,"MBS, Real Estate Debt",Low,20000,1.00%,Low,3.70%
TIP,iShares TIPS Bond ETF,Invests in U.S. Treasury Inflation-Protected Securities (TIPS).,0.19,Fixed Income,"Inflation Protection, TIPS",Low,25000,0.50%,Low,2.50%
VTIP,Vanguard Short-Term Inflation-Protected Securities ETF,Focuses on short-term TIPS.,0.05,Fixed Income,"Inflation Protection, Short-term TIPS",Low,15000,0.80%,Low,2.30%
